path	owner	status	evidence
.github/browser-proof/.gitignore	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/browser-proof/fixture-registry.mjs	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/browser-proof/fixtures/literature_knowledge.py	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/browser-proof/fixtures/model_version_selection.py	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/browser-proof/fixtures/project_search.py	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/browser-proof/package.json	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/browser-proof/plan-lib.mjs	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/browser-proof/plans/113-memory-models.json	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/browser-proof/plans/114-literature.json	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/browser-proof/plans/115-project-search.json	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/browser-proof/plans/116-roadmap-calendar.json	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/browser-proof/plans/117-brainstorm.json	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/browser-proof/plans/121-knowledge-actions.json	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/browser-proof/plans/124-settings-ai.json	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/browser-proof/plans/140-coding.json	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/browser-proof/request-policy.mjs	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/browser-proof/run.mjs	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/browser-proof/test-mutation-window.mjs	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/browser-proof/test-plan-lib.mjs	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/browser-proof/test-request-policy.mjs	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/browser-proof/validate-contract.mjs	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/browser-proof/validate-plan.mjs	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/local_worktree_actuator_core.py	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/local_worktree_recovery.py	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/merge-authority-policy.json	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/pull_request_template.md	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/workflows/bluecad-real-tool-proof.yml	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/workflows/browser-proof-contract.yml	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/workflows/cheap-review.yml	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/workflows/ci.yml	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/workflows/claude-review.yml	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/workflows/cloud-delivery-bridge.yml	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/workflows/codex-autopush.yml	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/workflows/codex-result-delivery.yml	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/workflows/daily-development-continuation.yml	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/workflows/event-driven-continuation.yml	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/workflows/exact-head-browser-proof-command.yml	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/workflows/exact-head-browser-proof.yml	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/workflows/merge-authority-verify.yml	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/workflows/post-merge-status-reconcile.yml	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/workflows/pr-attention.yml	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/workflows/project-knowledge-fast.yml	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.github/workflows/senior-review.yml	D	READ	Fresh master workflow/tooling inspection; delivery, CI, browser-proof or security boundary.
.gitignore	D	READ	Fresh master root/launcher source inspection.
AGENTS.md	D	READ	Fresh master root/launcher source inspection.
backend/app/__init__.py	A	READ	Fresh master source inspection; A-owned backend implementation/test/support seam.
backend/app/api/__init__.py	A	READ	Tiny HTTP-router package marker.
backend/app/api/dev_message_route.py	A	READ	Dev-only smoke/local-chat HTTP boundary.
backend/app/api/health.py	A	READ	Read-only health projection.
backend/app/api/system.py	A	READ	System info plus explicit storage initialization endpoint.
backend/app/core/__init__.py	A	READ	Tiny package marker/docstring; no hidden runtime behavior.
backend/app/core/ai_thread_schema.py	A	READ	AI-thread migration and flow-linked interaction persistence.
backend/app/core/bootstrap.py	A	READ	DB + AI-settings initialization and optional default workspace seed.
backend/app/core/brainstorm_schema.py	A	READ	Brainstorm records/revisions/discussions/promotion/idempotency persistence.
backend/app/core/cad_link_schema.py	C	READ	Fresh master source inspection; C-owned backend implementation/test/support seam.
backend/app/core/config.py	A	READ	Cached environment-backed process settings.
backend/app/core/database.py	A	READ	Canonical SQLite connection/bootstrap/migration orchestrator.
backend/app/core/development_schema.py	A	READ	Roadmap/dependency/object-link/calendar persistence migration.
backend/app/core/egress_schema.py	A	READ	Governed egress/derivative/decision/reservation/ticket/attempt/audit persistence.
backend/app/core/errors.py	A	READ	Structured application/workspace HTTP error helper.
backend/app/core/grade_schema.py	A	READ	Versioned AI-flow grade subjects and append-only grade events.
backend/app/core/literature_schema.py	A	READ	Literature source + claim/datum persistence.
backend/app/core/logging.py	A	READ	Minimal process logging configurator.
backend/app/core/paths.py	A	READ	Canonical data-root/database/workspace/artifact/log/secret paths.
backend/app/core/project_knowledge_schema.py	A	READ	Project Knowledge drafts/revisions/approval/reconciliation persistence.
backend/app/core/repository.py	A	READ	Pure shared SQLite-row→Pydantic conversion helpers.
backend/app/core/schema.py	A	READ	Shared baseline schema/migration owner; Area-C semantics not claimed.
backend/app/core/sensitivity_schema.py	A	READ	Sensitivity labels and sanitized derivative provenance/revocation persistence.
backend/app/core/spa_static.py	A	READ	Safe SPA static/fallback boundary with reserved API-root protection.
backend/app/core/token_flow_schema.py	A	READ	Durable flow/capture/segment and per-attempt execution/usage/accounting provenance.
backend/app/core/topology.py	A	READ	Bounded deterministic topological sort with structured fail-closed validation.
backend/app/main.py	A	READ	FastAPI composition root; routers/lifecycle/startup reconciliation/SPA mount.
backend/app/modules/__init__.py	A	READ	Fresh master source inspection; A-owned backend implementation/test/support seam.
backend/app/modules/agents/__init__.py	A	READ	Tiny package boundary.
backend/app/modules/agents/base.py	A	READ	Agent capability metadata and minimal protocol.
backend/app/modules/agents/registry.py	A	READ	In-memory name-keyed registry.
backend/app/modules/ai/__init__.py	A	READ	Tiny package boundary containing only the `AI gateway module boundary` module docstring; no exports, registration, initialization, runtime wiring, policy, or side effects.
backend/app/modules/ai/budget.py	A	READ	Server-owned external-provider budget/policy gate and status projection. Rejects unsupported operations, missing context/provider, disabled AI/paid-AI, zero/exhausted monthly budgets, disabled/missing-credential providers and provider token/cost caps. Reads month-to-date `ai_jobs` usage plus active/in-flight `egress_budget_reservations`; Scaleway additionally combines persisted token counters and route/live-smoke switches. It is a deterministic pre-dispatch gate/status surface, not provider execution or secret storage.
backend/app/modules/ai/context_builder.py	A	READ	Deterministic AI context assembly. Validates/canonicalizes caller blocks, hashes canonical JSON, separates SYSTEM/PROJECT_CONTEXT/USER_REQUEST so project content is reference data, and builds bounded workspace packs from decisions/assumptions/current parameters/requirements/evidence. Selection uses deterministic status/id/query limits and whole-block drop priority under the 20-block/character budget; no vector retrieval, embeddings, LLM ranking or summarization occurs here.
backend/app/modules/ai/contracts.py	A	READ	Provider-neutral AI contract and in-memory registry primitives. Defines provider/model/task/privacy/policy/error/usage enums; validates usage totals; models requests, responses, routing/gate/authority decisions; specifies the adapter protocol; and supplies simple provider/model registries with enabled/capability/task/privacy/provider filtering. These are contracts/registries, not persistence, policy enforcement, accounting, credential handling, or dispatch authority.
backend/app/modules/ai/costs.py	A	READ	Small AI cost/escalation helper. Defines a hard-coded per-route USD price registry, estimates input tokens as `ceil(chars/4)` with a minimum of one, defaults output allowance to 1024 tokens, computes an explicitly labeled estimate, and builds an `external:reasoning` escalation proposal using `execution.resolve_binding`. It includes the raw prompt as `outbound_text`, marks context excluded, and adds only a sensitivity warning for `confidential`/`sensitive_ip`; this module itself does not authorize egress, sanitize content, verify credentials, settle actual provider usage, or prove tokenizer-accurate cost. Failure/accuracy boundaries: unknown route classes raise via direct registry indexing; `max_output_tokens=0` is replaced by the 1024 default because `or` is used; negative nonzero output values are accepted arithmetically here unless rejected upstream; hard-coded prices and the four-chars/token heuristic can drift from provider pricing/tokenization.
backend/app/modules/ai/deepseek_provider_smoke.py	A	READ	DeepSeek-only diagnostic smoke surface. Applies policy/provider-mode, prompt-length/output-token and privacy gates, then delegates actual external execution to canonical `run_ai_task`; projects success/blocked responses and logs start/completion/block events with estimated/reported usage metadata. It is not general routing or dispatch authority.
